n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
125,0.5,0.6,0.00033250185452457997,0.00038020684131468004,0.6654367221059588,0.6656570106839961,0.7125234056614165,0.7194955391562947,0.6419238618598095,0.6422675803806399,0.6287189742773849,0.6755543042036682,141.6,1.43237758713634e-05,6.759815840896746e-06,0.0,0.0,0.0021604852126812426,0.001061907482456659,0.0,0.0,0.0033819893895588237,0.0009446205547331805,0.5477225575051667,5
125,0.5,0.7,0.00033413754591444004,0.00037055697746469997,0.6654367221059588,0.6656570106839961,0.7107390681793149,0.7159048353342878,0.6419238618598095,0.6422675803806399,0.6294068572769425,0.67592952464309,135.6,1.358985544279134e-05,1.008568362057436e-05,0.0,0.0,0.0017599837346697958,0.0015897640766294801,0.0,0.0,0.0018503739390780616,0.0018996228554322057,2.0736441353327724,5
125,0.5,0.8,0.0004001604353732,0.00040972067114995996,0.6654367221059588,0.6656570106839961,0.71272166538165,0.7140764401365789,0.6419238618598095,0.6422675803806399,0.6271932400917691,0.6770103944213075,118.2,2.1901328436119107e-05,6.722005336246184e-06,0.0,0.0,0.002481181945467396,0.0007821407929792825,0.0,0.0,0.004015286832108823,0.0005619532999455699,2.588435821108957,5
125,1.0,0.6,0.0003151474717769,0.00037901463692138,0.6654367221059588,0.6656570106839961,0.7096816830047362,0.7188677167088886,0.6419238618598095,0.6422675803806399,0.6345012990597788,0.6803666419731179,140.4,2.4759584272868936e-06,4.1418887208642885e-06,0.0,0.0,8.35210424501672e-05,0.0002444359623435799,0.0,0.0,0.0006355966684092109,0.00021154450015179192,0.8944271909999183,5
125,1.0,0.7,0.00033795929546262,0.00039098945445498,0.6654367221059588,0.6656570106839961,0.7087564709769799,0.7157836766163674,0.6419238618598095,0.6422675803806399,0.633704292327019,0.6793314636438005,128.2,5.401954734349751e-06,1.0355707992976621e-05,0.0,0.0,0.00036029138085240554,0.0015593296253694077,0.0,0.0,0.0009158259377874764,0.0009642119083392565,1.788854381999835,5
125,1.0,0.8,0.00039658719689555997,0.00042367388165377994,0.6654367221059588,0.6656570106839961,0.7086573411168631,0.7118294966405991,0.6419238618598095,0.6422675803806399,0.6311830575290329,0.677645854423596,109.0,6.539548256453397e-06,7.5281719094963535e-06,0.0,0.0,0.00016243948897187586,0.00034524568826205644,0.0,0.0,0.00045110485197221746,0.00026429475631392825,1.4142135623730954,5
250,0.1,0.6,0.00065541238521674,0.00057379314006196,0.6654367221059588,0.6656570106839961,0.7121048573631457,0.7065205419099019,0.6419238618598095,0.6422675803806399,0.6323421496986393,0.6765601251154342,71.2,3.515503762959128e-05,5.455193419702403e-05,0.0,0.0,0.002578588136054771,0.0040151710326696505,0.0,0.0,0.00794894421327044,0.0033797055845562972,0.44721359549995915,5
250,0.1,0.7,0.00067171838166342,0.00060356189344456,0.6654367221059588,0.6656570106839961,0.7128538385284723,0.7082828505341998,0.6419238618598095,0.6422675803806399,0.6345467572683745,0.6778405030724167,70.6,1.9089848636385617e-05,4.634636494749554e-05,0.0,0.0,0.0011055655854105611,0.0035116859933758808,0.0,0.0,0.007120025660918806,0.0034409631207121673,0.5477225575051643,5
250,0.1,0.8,0.00067747873214052,0.00056590749333772,0.6654367221059588,0.6656570106839961,0.7111025443330763,0.7037999779711421,0.6419238618598095,0.6422675803806399,0.6342025451447417,0.6749999396521561,67.4,1.874344050329064e-05,1.8525168842925704e-05,0.0,0.0,0.0015328468517212279,0.0013853682285299923,0.0,0.0,0.003932375291927555,0.0013828708915779085,0.8944271909999157,5
250,0.5,0.6,0.00071857523547742,0.00064792084453656,0.6654367221059588,0.6656570106839961,0.7152659984579799,0.7105518228879832,0.6419238618598095,0.6422675803806399,0.6437633850909391,0.6784571526853341,69.4,4.127757466532417e-05,7.099304498219065e-05,0.0,0.0,0.001996089858746839,0.004030889736211521,0.0,0.0,0.0022649312242565387,0.0030524605799077294,1.3416407864998754,5
250,0.5,0.7,0.0008524423523232801,0.0008313440530289199,0.6654367221059588,0.6656570106839961,0.7189668465690053,0.7178654036788192,0.6419238618598095,0.6422675803806399,0.648532811225152,0.6840764834023233,62.8,2.376508663223304e-05,3.028418936323289e-06,0.0,0.0,0.0013954025178235612,0.00041578557304055116,0.0,0.0,0.002210031986414916,0.0005558642067858874,0.44721359549995815,5
250,0.5,0.8,0.00102118009887064,0.0010505000766690199,0.6654367221059588,0.6656570106839961,0.7168851195065535,0.7185813415574402,0.6419238618598095,0.6422675803806399,0.6540276477186113,0.6838993421068286,50.4,4.733016652241199e-05,5.2897717009331904e-05,0.0,0.0,0.0018923513304294904,0.002166793212127561,0.0,0.0,0.0007891140109166397,0.0011722634170689891,0.547722557505166,5
250,1.0,0.6,0.00075465441614366,0.0006939985301339799,0.6654367221059588,0.6656570106839961,0.7129529683885891,0.7093732789954841,0.6419238618598095,0.6422675803806399,0.6377693981352949,0.6783587941931198,63.0,2.542047129184568e-05,6.058531171880996e-06,0.0,0.0,0.0007331010592485226,0.0006981358284082014,0.0,0.0,0.001959302940065546,0.0006879965269956796,1.4142135623730943,5
250,1.0,0.7,0.00101848800769384,0.0008891797827803799,0.6654367221059588,0.6656570106839961,0.7030950545214231,0.6985460953849543,0.6419238618598095,0.6422675803806399,0.6259642104938762,0.6743761532689825,37.0,2.8917565037736826e-05,1.3138723714619346e-05,0.0,0.0,0.0004977863878610608,0.0007361973748408587,0.0,0.0,0.002585052073045433,0.0004930156320095049,1.2247448713915887,5
