confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
0.01,0.1,2,500,0.0038862763145961197,0.00394152275960704,0.4949571404242435,0.4941245482241186,0.6579143565386871,0.6593827464189074,0.4817658322388296,0.4808630691011386,0.6523016300124963,0.653697566599844,6.192340202184569,1366.8175131788134,221.08,0.0,42.0,0.00017945370226238894,0.0001921398117838496,0.0,0.0,0.0008779533027659311,0.0009621330530525917,0.0,0.0,0.0009663365546072781,0.0009248437936432456,0.4638289059115972,72.05518726150547,7.675415298210254,0.0,1.8708286933869707,5
0.01,0.1,2,1000,0.00615434105130772,0.00620519473056036,0.4949571404242435,0.4941245482241186,0.6586031373587905,0.6591291842488693,0.4817658322388296,0.4808630691011386,0.6519472204860031,0.6525456935578442,3.6467042686279734,2336.1204761904764,661.6800000000001,0.0,26.6,0.0001466088559370128,0.00012665734081619622,0.0,0.0,0.0014635586329437532,0.0008889571515163484,0.0,0.0,0.001403435717904693,0.0009165254352724688,0.8530408784013744,62.72111913633439,113.785552685743,0.0,0.5477225575051664,5
0.01,0.1,3,100,0.00086735272377886,0.0009203673479966999,0.4949571404242435,0.4941245482241186,0.6491910609873787,0.6578575888886786,0.4817658322388296,0.4808630691011386,0.646705227399144,0.6551958201211454,4.958316861901048,303.4327124365701,65.12,0.0,179.0,8.266591147751381e-05,8.200169811344547e-05,0.0,0.0,0.002812288199505121,0.0021504127317046786,0.0,0.0,0.0023822189385091738,0.0018391190452695023,1.6291952432176544,24.23730384136086,15.290912333801405,0.0,15.491933384829668,5
0.01,0.1,3,250,0.00193646028288426,0.00199375918109326,0.4949571404242435,0.4941245482241186,0.6575321210286298,0.6615285635892293,0.4817658322388296,0.4808630691011386,0.6531326774809737,0.6570652584337002,5.094218389427925,667.6364030798659,132.92000000000002,0.0,84.4,0.00016401652503126844,0.0001656137107478553,0.0,0.0,0.0010009832212280656,0.0010209763515543475,0.0,0.0,0.0008062150315089763,0.0009708417305529619,0.9140743136725398,56.16180824474446,13.761249943228265,0.0,6.580273550544839,5
0.01,0.1,3,500,0.00342172337080726,0.00348288092873966,0.4949571404242435,0.4941245482241186,0.6601964160690295,0.662319526179348,0.4817658322388296,0.4808630691011386,0.6547007851430299,0.6568709709400483,5.134134834005116,1220.754414961732,240.56,0.0,48.4,0.00018072827664318333,0.00018266173169891904,0.0,0.0,0.0011661266124828751,0.0011440399089580379,0.0,0.0,0.001024424936878754,0.0009678860451161068,0.7365877573885293,75.68847687452113,27.122463014999212,0.0,2.6076809620810595,5
0.01,0.1,3,1000,0.00572306002594216,0.00572270571742884,0.4949571404242435,0.4941245482241186,0.659167029348875,0.6583949893087593,0.4817658322388296,0.4808630691011386,0.6534141240002412,0.6526502370599448,3.4891428483820057,2139.613067193676,620.76,0.0,28.8,0.00040326453542755377,0.0003565068998887675,0.0,0.0,0.0012468797479164918,0.0015973255136711233,0.0,0.0,0.0013911511973412718,0.0018593143206280189,0.5271743540568178,188.83943935976498,72.48826111861145,0.0,1.9235384061671348,5
0.1,0.01,2,100,0.0005639327656398199,0.00061892330202104,0.4949571404242435,0.4941245482241186,0.6380759551157114,0.6512082048176813,0.4817658322388296,0.4808630691011386,0.6367304529425678,0.6495004501168686,4.828019760542494,212.1999799432047,44.6,0.0,254.0,2.0849820206598484e-05,2.093405385366568e-05,0.0,0.0,0.00147028335288732,0.0008369459053908997,0.0,0.0,0.001441168532709543,0.0006910352209829635,0.6604275049527422,6.227394377279044,6.041522986797289,0.0,7.348469228349535,5
0.1,0.01,2,250,0.00144841622431998,0.00149963981012482,0.4949571404242435,0.4941245482241186,0.653626506708044,0.658406342838761,0.4817658322388296,0.4808630691011386,0.6501394605955836,0.6549039966530562,3.317822744174213,502.0586630829247,152.44,0.0,109.6,3.594957375948428e-05,3.713829031656901e-05,0.0,0.0,0.0021298336657164935,0.002275408116147467,0.0,0.0,0.0019459453239344861,0.002145041315743384,0.3554822695789019,15.399718164742392,13.680204676831403,0.0,3.0495901363953823,5
0.1,0.01,2,500,0.00284448840339932,0.0028798218379727,0.4949571404242435,0.4941245482241186,0.6573996631786099,0.6585652922587848,0.4817658322388296,0.4808630691011386,0.6519132668804,0.6531423589985303,5.027707676659035,1004.055859828414,200.0,0.0,57.2,0.00013286498852171442,0.00014522028753262116,0.0,0.0,0.0009509028540600682,0.0014533701013436384,0.0,0.0,0.000992886428500421,0.00131334359722187,0.34682805642604075,50.260320440807796,7.923383115816117,0.0,2.4899799195977472,5
0.1,0.01,2,1000,0.00460425543810538,0.0046498326586794396,0.4949571404242435,0.4941245482241186,0.6578008212386701,0.6585917838287887,0.4817658322388296,0.4808630691011386,0.6522614004231329,0.6531116210791508,3.1388435400578585,1654.6186498225543,546.36,0.03999999999999998,35.4,0.00017095610559782586,0.00015911928375767645,0.0,0.0,0.002028220210741401,0.001865124252929238,0.0,0.0,0.0020892892127182348,0.0019325519423518546,0.9587583769088804,67.96104174757319,167.4562271162229,0.08944271909999155,1.1401754250991383,5
