const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
0.5,2,1000,0.5,0.0166064298824909,0.0166575207674986,0.4949571404242435,0.4941245482241186,0.6610214392491532,0.660699755899105,0.4817658322388296,0.4808630691011386,0.6540271769024074,0.6536779504222291,12.889515058703422,7890.8,489.75,0.1999999999999999,10.0,,,,,,,,,,,,,,,,1
0.5,2,1000,0.55,0.016640490472496,0.0166707665525006,0.4949571404242435,0.4941245482241186,0.6613620451492043,0.6608322137491248,0.4817658322388296,0.4808630691011386,0.654356847123312,0.6537865969658171,12.922824974411464,7891.0,488.5,0.1999999999999999,10.0,,,,,,,,,,,,,,,,1
0.5,3,100,0.45,0.0015475816362134,0.0016039955936985,0.4949571404242435,0.4941245482241186,0.6605483754990823,0.6657520767498628,0.4817658322388296,0.4808630691011386,0.6572571054893308,0.6624532413278105,3.491487315626228,510.4554455445544,146.2,0.0,107.0,,,,,,,,,,,,,,,,1
0.5,3,100,0.5,0.0014049589049115,0.0014625352109031,0.4949571404242435,0.4941245482241186,0.6593373322989006,0.6652411678997862,0.4817658322388296,0.4808630691011386,0.6563604728860083,0.6622146304630881,3.461016903639855,464.4684684684685,134.2,0.0,117.0,,,,,,,,,,,,,,,,1
0.5,3,100,0.55,0.0013497051649565,0.001406472814965,0.4949571404242435,0.4941245482241186,0.6596211705489432,0.6657142316498571,0.4817658322388296,0.4808630691011386,0.6567355324580043,0.6627901364224426,3.374670423408985,450.1810344827586,133.4,0.0,122.0,,,,,,,,,,,,,,,,1
0.5,3,250,0.45,0.0119779741517966,0.0122293737446915,0.4949571404242435,0.4941245482241186,0.6626487785493973,0.6653357806498004,0.4817658322388296,0.4808630691011386,0.655017226456957,0.6575711133380456,33.426899592944366,4927.125,147.4,0.0,14.0,,,,,,,,,,,,,,,,1
0.5,3,250,0.5,0.0119725677089387,0.0122672188446972,0.4949571404242435,0.4941245482241186,0.662573088349386,0.6658656120498798,0.4817658322388296,0.4808630691011386,0.6551363328920183,0.6581886580618908,33.517857142857146,4927.125,147.0,0.0,14.0,,,,,,,,,,,,,,,,1
0.5,3,250,0.55,0.0111781810383433,0.0114494042550507,0.4949571404242435,0.4941245482241186,0.6626298559993945,0.6658656120498798,0.4817658322388296,0.4808630691011386,0.6553710562611678,0.6583925291708169,29.99771689497717,4379.666666666667,146.0,0.0,15.0,,,,,,,,,,,,,,,,1
0.5,3,500,0.45,0.0150279451658905,0.0153031822568409,0.4949571404242435,0.4941245482241186,0.6602645372490397,0.662459553049369,0.4817658322388296,0.4808630691011386,0.6535257400767404,0.6554343062171405,26.09775429326288,7902.4,302.8,0.0,11.0,,,,,,,,,,,,,,,,1
0.5,3,500,0.5,0.0150537486431671,0.0153203845750253,0.4949571404242435,0.4941245482241186,0.6605483754990823,0.6626487785493973,0.4817658322388296,0.4808630691011386,0.6537193791897404,0.6555655979808118,26.280106453759142,7899.8,300.6,0.0,11.0,,,,,,,,,,,,,,,,1
0.5,3,500,0.55,0.0150623498022593,0.0153324261977544,0.4949571404242435,0.4941245482241186,0.6606429882490964,0.6627812363994172,0.4817658322388296,0.4808630691011386,0.6538377989209528,0.6557304967215642,26.35023348899266,7899.8,299.8,0.0,11.0,,,,,,,,,,,,,,,,1
0.5,3,1000,0.45,0.0165023558574753,0.0165288474274793,0.4949571404242435,0.4941245482241186,0.6599806989989971,0.659413022498912,0.4817658322388296,0.4808630691011386,0.6538412663537966,0.6531019284862392,11.178855875831488,7877.6,563.75,0.1999999999999999,10.0,,,,,,,,,,,,,,,,1
0.5,3,1000,0.5,0.0165174938974776,0.0165496622324824,0.4949571404242435,0.4941245482241186,0.6601320793990199,0.6596211705489432,0.4817658322388296,0.4808630691011386,0.6539426513895733,0.6532720650592928,11.18849533954727,7877.4,563.25,0.1999999999999999,10.0,,,,,,,,,,,,,,,,1
0.5,3,1000,0.55,0.0165023558574753,0.0165515544874827,0.4949571404242435,0.4941245482241186,0.6599806989989971,0.659640093098946,0.4817658322388296,0.4808630691011386,0.6537614448598893,0.6532880391950507,11.193463587921848,7877.4,563.0,0.1999999999999999,10.0,,,,,,,,,,,,,,,,1
1.0,2,100,0.45,0.0010340177652866,0.0010602852524616,0.4949571404242435,0.4941245482241186,0.6521278407478192,0.6552879065982932,0.4817658322388296,0.4808630691011386,0.649912922742645,0.6530298679446923,3.647084470197744,355.2260273972603,97.4,0.0,152.0,,,,,,,,,,,,,,,,1
1.0,2,100,0.5,0.0009207463552279,0.0009540591079275,0.4949571404242435,0.4941245482241186,0.6487217817473082,0.6534524192480179,0.4817658322388296,0.4808630691011386,0.6462999128421982,0.6510794788313895,3.359277151547683,326.5217391304348,97.2,0.0,167.0,,,,,,,,,,,,,,,,1
1.0,2,100,0.55,0.0008838591088535,0.0009240145201967,0.4949571404242435,0.4941245482241186,0.6469809071470471,0.6530550456979582,0.4817658322388296,0.4808630691011386,0.644978603830757,0.6510834770213606,3.2716817683958976,316.69879518072287,96.8,0.0,172.0,,,,,,,,,,,,,,,,1
1.0,2,250,0.45,0.0064016442240371,0.0064555007125067,0.4949571404242435,0.4941245482241186,0.66139989024921,0.6619675667492951,0.4817658322388296,0.4808630691011386,0.655054039294292,0.6556316166196637,3.17587358684481,2472.1,778.4,0.0,26.0,,,,,,,,,,,,,,,,1
1.0,2,250,0.5,0.0061351112120313,0.0061967847083369,0.4949571404242435,0.4941245482241186,0.6606051431490908,0.6614377353492157,0.4817658322388296,0.4808630691011386,0.6544155662306218,0.6553182217273457,3.033214316388756,2354.3809523809523,776.2,0.0,27.0,,,,,,,,,,,,,,,,1
1.0,2,250,0.55,0.0057061275784421,0.0057700727474172,0.4949571404242435,0.4941245482241186,0.6604348401990652,0.6614566578992185,0.4817658322388296,0.4808630691011386,0.6541720311603644,0.6553630696187625,2.76940053549623,2149.608695652174,776.2,0.0,29.0,,,,,,,,,,,,,,,,1
1.0,2,500,0.45,0.0129881472057943,0.0132603408096813,0.4949571404242435,0.4941245482241186,0.6638030540995704,0.6665089787499764,0.4817658322388296,0.4808630691011386,0.6571197642708657,0.6596817481053101,4.903852551733316,6317.142857142857,1288.2,0.0,13.0,,,,,,,,,,,,,,,,1
1.0,2,500,0.5,0.0121334093839628,0.0122672188446972,0.4949571404242435,0.4941245482241186,0.6648248717997237,0.6658656120498798,0.4817658322388296,0.4808630691011386,0.6583552935049943,0.6590550601136226,4.290870982766651,5527.5,1288.2,0.0,14.0,,,,,,,,,,,,,,,,1
1.0,2,500,0.55,0.0121334093839628,0.0122753285089841,0.4949571404242435,0.4941245482241186,0.6648248717997237,0.6659791473498968,0.4817658322388296,0.4808630691011386,0.6583622088254891,0.6591430195059743,4.293537362125213,5527.5,1287.4,0.0,14.0,,,,,,,,,,,,,,,,1
1.0,2,1000,0.45,0.0165553389974833,0.0166329214524949,0.4949571404242435,0.4941245482241186,0.6605105303990766,0.6604537627490681,0.4817658322388296,0.4808630691011386,0.6534812927954673,0.6533988466126626,12.903668880940216,7891.4,489.25,0.1999999999999999,10.0,,,,,,,,,,,,,,,,1
1.0,2,1000,0.5,0.0165837228224875,0.016627244687494,0.4949571404242435,0.4941245482241186,0.6607943686491191,0.6603969950990596,0.4817658322388296,0.4808630691011386,0.6537230799109589,0.653346908109734,12.93672131147541,7891.4,488.0,0.1999999999999999,10.0,,,,,,,,,,,,,,,,1
1.0,2,1000,0.55,0.0165893995874884,0.0166480594924972,0.4949571404242435,0.4941245482241186,0.6608511362991276,0.6606051431490908,0.4817658322388296,0.4808630691011386,0.6538561961096825,0.6535789416076532,13.084849740932643,7891.8,482.5,0.1999999999999999,10.0,,,,,,,,,,,,,,,,1
1.0,3,100,0.45,0.0018760964182589,0.0019290370356826,0.4949571404242435,0.4941245482241186,0.6619297216492894,0.6658088443998713,0.4817658322388296,0.4808630691011386,0.6576924480024919,0.6615224427693324,2.661287824821135,621.144578313253,233.4,0.0,89.0,,,,,,,,,,,,,,,,1
1.0,3,100,0.5,0.0016176925100465,0.0016714919169173,0.4949571404242435,0.4941245482241186,0.6599617764489942,0.6646167237496925,0.4817658322388296,0.4808630691011386,0.656421284027004,0.6609309075722812,2.3203236766809727,540.6354166666666,233.0,0.0,102.0,,,,,,,,,,,,,,,,1
