confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
0.01,0.1,2,500,0.00021603589141735999,0.00019748735528554002,0.1387710094563437,0.1384702776756775,0.14935676813579707,0.14814715808467266,0.0892377551095781,0.0889535523418541,0.11413907243402222,0.11315451701996666,49.0,1.7375207185573987e-05,2.6837274377185466e-05,0.0,0.0,0.0008513851520936151,0.0013150264444814644,0.0,0.0,0.001267103480473695,0.0014166937031856984,0.0,5
0.01,0.1,2,1000,0.0007816639537159,0.0005012196344438,0.1387710094563437,0.1384702776756775,0.1606576001603903,0.1525044274401042,0.0892377551095781,0.0889535523418541,0.1207820972422603,0.11189086469039,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.01,0.1,3,100,1.4496442334461927e-05,-9.16586025038766e-05,0.1387710094563437,0.1384702776756775,0.14082266849333375,0.12548534767935307,0.0892377551095781,0.0889535523418541,0.12066685904122505,0.10305112494666842,141.6,7.760344441283518e-06,4.915023276558327e-06,0.0,0.0,0.0010934300310616845,0.0008657552622264148,0.0,0.0,0.00020558450064591383,0.0009778835808628519,2.4083189157584557,5
0.01,0.1,3,250,6.61179093354733e-05,-2.3444365817595855e-05,0.1387710094563437,0.1384702776756775,0.14435793764827745,0.13646539913790218,0.0892377551095781,0.0889535523418541,0.11480576634413449,0.1065946712157799,84.8,2.300161213490104e-05,1.2402204382550786e-05,0.0,0.0,0.0019093771030802512,0.0010894403305978385,0.0,0.0,0.002562467412806796,0.000962736188042744,2.1679483388678786,5
0.01,0.1,3,500,0.00020098495114110002,0.0001498833421606,0.1387710094563437,0.1384702776756775,0.14926320713736757,0.14630266982991944,0.0892377551095781,0.0889535523418541,0.11450494920095615,0.11187051952414984,52.2,1.336051208395478e-05,2.6640590778365887e-05,0.0,0.0,0.0007154948075438068,0.0014623631026141907,0.0,0.0,0.0010503437416508382,0.0012661205590446952,0.44721359549995865,5
0.01,0.1,3,1000,0.0007921038194703401,0.00059509002770934,0.1387710094563437,0.1384702776756775,0.1602967220235907,0.15463628161860524,0.0892377551095781,0.0889535523418541,0.12025458900697228,0.11441750885444299,27.2,6.838726056129188e-05,5.715503321484977e-05,0.0,0.0,0.0016097050906078117,0.0013228147469580337,0.0,0.0,0.0013028401145797092,0.0009933943511693745,0.44721359549995765,5
0.1,0.01,2,100,-0.00010501744721670001,-0.0001945911521958,0.1387710094563437,0.1384702776756775,0.1137768570187456,0.0921575834530691,0.0892377551095781,0.0889535523418541,0.1074806131009288,0.0828362166430004,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.1,0.01,2,250,-1.6166322177616278e-05,-0.00012003812451564,0.1387710094563437,0.1384702776756775,0.13707354562769405,0.12586627460153035,0.0892377551095781,0.0889535523418541,0.11236100769853652,0.10115176935427075,105.0,7.864325443687805e-06,3.7948736046667117e-06,0.0,0.0,0.0008257541715872302,0.00039846172849301365,0.0,0.0,0.0010888963234802161,0.0003269634805053013,0.0,5
0.1,0.01,2,500,0.00022318676595802002,7.927335827525144e-05,0.1387710094563437,0.1384702776756775,0.15171584188191267,0.14306813245564204,0.0892377551095781,0.0889535523418541,0.11607012328602173,0.10729450958938465,58.0,1.2937587703466395e-05,9.15097666831235e-06,0.0,0.0,0.0007503800868016079,0.0005307566467621327,0.0,0.0,0.001752882586562859,0.0012221329761906996,0.0,5
0.1,0.01,2,1000,0.0006618485934822,0.000527473996248,0.1387710094563437,0.1384702776756775,0.15730277007384633,0.1532395495706218,0.0892377551095781,0.0889535523418541,0.11887180219500326,0.11478623934234941,28.0,6.536411905887594e-07,0.0,0.0,0.0,1.830195333658913e-05,0.0,0.0,0.0,9.417864752766787e-05,0.00010106362070287035,0.0,5
0.1,0.01,3,100,-0.00011123564091482,-0.00019166886250268,0.1387710094563437,0.1384702776756775,0.11054231964446819,0.08985197313462756,0.0892377551095781,0.0889535523418541,0.10389675213516451,0.0810821552849477,253.6,7.827158248062833e-06,4.141156065379382e-06,0.0,0.0,0.002342411708281756,0.0016984041772112757,0.0,0.0,0.0022815730593602574,0.0012015383845435583,3.435112807463533,5
