disjoint_training_windows,n_samples,n_windows,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
True,50,25,0.0117160351810578,0.0118084398406492,0.4464661324248641,0.4406591563108926,0.7745151174944833,0.7712954718490702,0.416825438069297,0.4087358755888663,0.7630995606790507,0.7595476218577817,,,8.88888888888889,0.0689655172413793,28.0,,,,,,,,,,,,,,,,1
True,50,50,0.0122857548423728,0.0124682229362652,0.4464661324248641,0.4406591563108926,0.7536100034841857,0.7523647297175229,0.416825438069297,0.4087358755888663,0.7418383919926951,0.740500950462367,,,11.625,0.1724137931034483,25.0,,,,,,,,,,,,,,,,1
True,50,100,0.0204036862315674,0.0187210457718761,0.4464661324248641,0.4406591563108926,0.7321177396668086,0.702753797117159,0.416825438069297,0.4087358755888663,0.7206520394602062,0.686477430373729,,,8.428571428571429,0.5172413793103448,14.0,,,,,,,,,,,,,,,,1
True,100,25,0.0118055824397042,0.0120107622623978,0.4464661324248641,0.4406591563108926,0.8006336056159912,0.8009820241828294,0.416825438069297,0.4087358755888663,0.7884364436493628,0.788776764971784,,,10.448275862068966,0.0,30.0,,,,,,,,,,,,,,,,1
True,100,50,0.0120623798278554,0.0121958020171407,0.4464661324248641,0.4406591563108926,0.784212767604816,0.7821416127908327,0.416825438069297,0.4087358755888663,0.7720140715104327,0.7695030078945035,,,17.48148148148148,0.0689655172413793,28.0,,,,,,,,,,,,,,,,1
True,100,100,0.0192133483024273,0.0176785860228235,0.4464661324248641,0.4406591563108926,0.7346663569612739,0.7058379466532461,0.416825438069297,0.4087358755888663,0.7232686139431092,0.6901065852374447,,,14.666666666666666,0.4827586206896551,15.0,,,,,,,,,,,,,,,,1
True,250,25,0.0121025391837394,0.0122852030683972,0.4464661324248641,0.4406591563108926,0.7974397687533068,0.7969300452944137,0.416825438069297,0.4087358755888663,0.7848853581856231,0.7841952177502493,,,13.785714285714286,0.0344827586206896,29.0,,,,,,,,,,,,,,,,1
True,250,50,0.0124785464493567,0.0126536774750161,0.4464661324248641,0.4406591563108926,0.7958654330068522,0.7949621256113455,0.416825438069297,0.4087358755888663,0.7841987797497042,0.7821877271023591,,,23.444444444444443,0.0689655172413793,28.0,,,,,,,,,,,,,,,,1
True,250,100,0.0133072664627772,0.013001948563096,0.4464661324248641,0.4406591563108926,0.7791477939942962,0.7657078703882931,0.416825438069297,0.4087358755888663,0.767607236228936,0.754649561758141,,,31.916666666666668,0.1724137931034483,25.0,,,,,,,,,,,,,,,,1
True,500,25,0.0124658724935524,0.012641464390332,0.4464661324248641,0.4406591563108926,0.7955105622443317,0.7946201592401895,0.416825438069297,0.4087358755888663,0.7838956420217947,0.7818985770999615,,,27.07407407407408,0.0689655172413793,28.0,,,,,,,,,,,,,,,,1
True,500,50,0.0133054598479862,0.0129993676848231,0.4464661324248641,0.4406591563108926,0.779102628624521,0.7656433484314712,0.416825438069297,0.4087358755888663,0.7675657517048711,0.7545774844319709,,,32.583333333333336,0.1724137931034483,25.0,,,,,,,,,,,,,,,,1
True,500,100,0.0161895267959686,0.0136305859884118,0.4464661324248641,0.4406591563108926,0.7702566683442376,0.7132708760791298,0.416825438069297,0.4087358755888663,0.7592416964690045,0.7076340241282755,,,46.68421052631579,0.3448275862068966,20.0,,,,,,,,,,,,,,,,1
