n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
125,0.1,0.7,0.0009511266663573799,0.00098076720097642,0.4464661324248641,0.44065915631089253,0.7803582259042752,0.7849689649387687,0.41682543806929695,0.40873587558886626,0.770554741648861,0.7750021991365098,11.601785846810143,480.0390734925997,72.04827586206896,0.0,351.8,5.1235672299760926e-05,5.195765020167712e-05,0.0,0.0,0.001726173988148533,0.001556079124063655,0.0,0.0,0.0017902066473566064,0.0016447962031347493,11.639055101384718,25.51451457235752,52.09164612218912,0.0,17.469974241537965,5
125,0.1,0.8,0.00602352524400988,0.00613450603699392,0.4464661324248641,0.44065915631089253,0.7983366239531312,0.7990141044997613,0.41682543806929695,0.40873587558886626,0.7863827659831166,0.7870135907882874,311.51448634507824,5085.533113272424,17.110344827586207,0.0,58.6,0.00036654544491042444,0.0003728558003801515,0.0,0.0,0.00020229459959727865,0.00025997625098920797,0.0,0.0,0.00018077787086475647,0.0002524711889805548,78.28566112396449,773.0677701161131,5.192741664368221,0.0,3.7815340802378072,5
125,0.5,0.6,0.0025207695674293604,0.00257582230381962,0.4464661324248641,0.44065915631089253,0.7916366639567445,0.7933748854735266,0.41682543806929695,0.40873587558886626,0.7805502832288179,0.7822346654855548,27.5506906057592,1396.4562160907176,51.02758620689656,0.0,137.2,0.00012848551349567568,0.00012998848482244333,0.0,0.0,0.0008863799955016954,0.0007094481827986675,0.0,0.0,0.0009814914155567883,0.0007981477551220805,3.537141071967172,99.60577205231857,3.8437372816219852,0.0,6.610597552415363,5
125,0.5,0.7,0.01148401749502448,0.011680723434055521,0.4464661324248641,0.44065915631089253,0.7954886247790123,0.7956602531841586,0.41682543806929695,0.40873587558886626,0.7838558837493691,0.7839916627746251,132.95366370636688,8252.0,61.04137931034482,0.0,30.4,0.00020916229069160288,0.00021206520224740263,0.0,0.0,0.00014603928840841118,0.00017737084756789514,0.0,0.0,0.00010293501017569415,0.000131455272997723,6.255611728879774,181.01933598375618,2.1899130991179705,0.0,0.5477225575051664,5
125,0.5,0.8,0.01173684197589578,0.01193177202487716,0.4464661324248641,0.44065915631089253,0.7936639438400888,0.7936316828616778,0.41682543806929695,0.40873587558886626,0.7821305358464576,0.7819890197825378,,,71.98646232439336,0.013793103448275858,29.6,0.00029737844836857415,0.0002906778471305415,0.0,0.0,0.002068919459566319,0.0024295639816700604,0.0,0.0,0.002138994139257326,0.0026657148407182953,,,2.715514159275003,0.030842316931031576,0.8944271909999155,5
125,1.0,0.6,0.00488774799222702,0.00497892515919886,0.4464661324248641,0.44065915631089253,0.7912340469461758,0.7918599099273482,0.41682543806929695,0.40873587558886626,0.7799495489619176,0.7805329126644437,37.98190055002055,3663.392968680535,96.60689655172412,0.0,70.6,0.00016676449336788273,0.00016907701127740773,0.0,0.0,0.00032413534742971816,0.0002923635037959376,0.0,0.0,0.00034725103593766883,0.0003083186556363785,2.5659085887507547,171.17356310947048,3.8861319333099664,0.0,2.302172886644267,5
125,1.0,0.7,0.009477769744503501,0.009636085589784581,0.4464661324248641,0.44065915631089253,0.7912869549507697,0.791240499141858,0.41682543806929695,0.40873587558886626,0.7801352415729025,0.78006729934083,154.53256818341163,17494.920000000002,113.11724137931034,0.0,36.4,0.00023760509280333397,0.00024066328312655956,0.0,0.0,5.871143543844042e-05,0.0001025675900026733,0.0,0.0,4.424785778088583e-05,7.73662782373332e-05,22.80160580773874,2761.7724439207514,2.379760077436231,0.0,0.8944271909999157,5
125,1.0,0.8,0.014007463280126841,0.01396841796307886,0.4464661324248641,0.44065915631089253,0.7538564773592453,0.7470687675015808,0.41682543806929695,0.40873587558886626,0.7438367484993911,0.7370715491723699,,,129.11539996235646,0.24137931034482754,22.0,0.0006888592124100916,0.0007486088871205412,0.0,0.0,0.011201260163094907,0.008377784654288173,0.0,0.0,0.010972577965004476,0.00875374294456799,,,1.8462739971668225,0.054522028623592705,1.5811388300841898,5
250,0.1,0.6,0.00096005589078886,0.00098969091250728,0.4464661324248641,0.44065915631089253,0.7794381427999948,0.7839108048468895,0.41682543806929695,0.40873587558886626,0.7696316767356529,0.7739852671331526,7.236948571541942,486.81987246419715,70.52413793103449,0.0,347.0,2.4972941865117837e-05,2.5525191700355582e-05,0.0,0.0,0.0007057711175984134,0.0006876115564010166,0.0,0.0,0.0006572588417671486,0.0006453118419578993,1.8876257406333161,13.282496308209971,16.064328915203347,0.0,8.396427811873332,5
250,0.1,0.7,0.00599961156259866,0.006109738722197959,0.4464661324248641,0.44065915631089253,0.7971094163343786,0.7977443123895062,0.41682543806929695,0.40873587558886626,0.7852555286677567,0.7858720339527328,168.32442238116965,5112.2726147343,33.83423645320197,0.00689655172413792,58.8,0.0005177357987188534,0.0005258163511935453,0.0,0.0,0.0006070449819682297,0.0005944500010490934,0.0,0.0,0.0007377157105800017,0.000756430677729231,60.620287462114256,1043.5728609071198,15.618834380117182,0.015421158465515766,5.167204273105525,5
