disjoint_training_windows,n_samples,n_windows,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
False,1000,50,0.7883679816241467,,1,WaveformDrift2
False,500,50,0.7881550591666344,,1,WaveformDrift2
True,100,50,0.784212767604816,,1,WaveformDrift2
True,250,100,0.7791477939942962,,1,WaveformDrift2
True,500,50,0.779102628624521,,1,WaveformDrift2
True,50,25,0.7745151174944833,,1,WaveformDrift2
True,500,100,0.7702566683442376,,1,WaveformDrift2
True,50,50,0.7536100034841857,,1,WaveformDrift2
True,100,100,0.7346663569612739,,1,WaveformDrift2
True,50,100,0.7321177396668086,,1,WaveformDrift2
