disjoint_training_windows,n_samples,n_windows,lpd (ht) (mean),lpd (ht) (std),count,stream
True,500,100,0.0161895267959686,,1,WaveformDrift2
True,250,100,0.0133072664627772,,1,WaveformDrift2
True,500,50,0.0133054598479862,,1,WaveformDrift2
True,250,50,0.0124785464493567,,1,WaveformDrift2
True,500,25,0.0124658724935524,,1,WaveformDrift2
True,50,50,0.0122857548423728,,1,WaveformDrift2
True,250,25,0.0121025391837394,,1,WaveformDrift2
True,100,50,0.0120623798278554,,1,WaveformDrift2
False,100,100,0.0118333268811376,,1,WaveformDrift2
False,100,50,0.0118333268811376,,1,WaveformDrift2
False,100,250,0.0118313912224329,,1,WaveformDrift2
False,250,250,0.0118303158564859,,1,WaveformDrift2
True,100,25,0.0118055824397042,,1,WaveformDrift2
True,50,25,0.0117160351810578,,1,WaveformDrift2
False,250,100,0.0065494565578444,,1,WaveformDrift2
False,500,250,0.0064104323792295,,1,WaveformDrift2
False,1000,250,0.0062183035887112,,1,WaveformDrift2
False,1000,100,0.0042077758085466,,1,WaveformDrift2
False,1000,50,0.0033851668237552,,1,WaveformDrift2
False,250,50,0.0028853045964268,,1,WaveformDrift2
False,500,100,0.0028166719280912,,1,WaveformDrift2
False,500,50,0.0019304459137953,,1,WaveformDrift2
