n_consecutive_deviations,n_permutations,n_samples,update_interval,Electricity,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
4,40,500,50,55,6,5,4,8,6,49,46,57,18,42,56,33,29.615384615384617,0.41132478632478636
4,10,500,50,56,5,4,5,7,4,50,41,55,17,41,57,32,28.76923076923077,0.3995726495726496
4,20,100,50,57,28,32,46,35,46,57,59,53,69,64,50,4,46.15384615384615,0.641025641025641
4,10,100,50,58,30,33,47,36,48,56,57,52,71,65,49,6,46.76923076923077,0.6495726495726495
4,20,500,50,59,4,6,6,9,5,51,45,56,16,40,55,31,29.46153846153846,0.4091880341880342
4,40,100,50,60,29,31,48,34,47,55,60,54,70,66,51,5,46.92307692307692,0.6517094017094016
1,20,1000,50,61,53,49,53,50,53,67,62,62,13,39,72,71,54.23076923076923,0.7532051282051282
1,10,1000,50,62,52,51,52,49,52,68,61,61,12,37,70,70,53.61538461538461,0.7446581196581197
1,40,1000,50,63,54,50,54,51,54,69,63,63,14,38,71,72,55.07692307692308,0.764957264957265
1,20,500,50,64,60,58,59,59,59,65,67,67,7,50,67,67,57.61538461538461,0.8002136752136751
1,10,500,50,65,58,60,58,58,58,66,68,68,6,49,69,68,57.76923076923077,0.8023504273504273
1,20,250,50,66,65,67,68,64,68,71,65,71,58,68,65,57,65.61538461538461,0.9113247863247863
1,40,500,50,67,59,59,60,60,61,64,69,69,8,51,68,69,58.76923076923077,0.8162393162393162
1,10,250,50,68,64,69,67,65,67,72,64,70,59,67,66,55,65.61538461538461,0.9113247863247863
1,40,250,50,69,66,68,69,66,69,70,66,72,55,69,64,56,66.07692307692308,0.9177350427350428
1,20,100,50,70,72,71,72,71,71,61,70,65,50,72,62,58,66.53846153846153,0.9241452991452991
1,10,100,50,71,70,70,70,70,70,62,71,64,51,70,61,60,66.15384615384616,0.9188034188034189
1,40,100,50,72,71,72,71,72,72,63,72,66,49,71,63,59,67.15384615384616,0.9326923076923078
