const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
0.5,3,250,0.55,0.0082757183638598,,1,InsectsIncrementalAbruptBalanced
1.0,2,250,0.45,0.0070284404740983,,1,InsectsIncrementalAbruptBalanced
1.0,2,250,0.5,0.0062003292283969,,1,InsectsIncrementalAbruptBalanced
1.0,2,250,0.55,0.0061058579631221,,1,InsectsIncrementalAbruptBalanced
0.5,2,250,0.45,0.0060438751620767,,1,InsectsIncrementalAbruptBalanced
0.5,2,250,0.5,0.0057512706709431,,1,InsectsIncrementalAbruptBalanced
0.5,2,250,0.55,0.0053404656230186,,1,InsectsIncrementalAbruptBalanced
1.0,3,100,0.45,0.0021326855928343,,1,InsectsIncrementalAbruptBalanced
0.5,3,100,0.45,0.0020795100198605,,1,InsectsIncrementalAbruptBalanced
1.0,3,100,0.5,0.0019860106748738,,1,InsectsIncrementalAbruptBalanced
0.5,3,100,0.5,0.0019415749828092,,1,InsectsIncrementalAbruptBalanced
1.0,3,100,0.55,0.0019132433485124,,1,InsectsIncrementalAbruptBalanced
0.5,3,100,0.55,0.0018715192515682,,1,InsectsIncrementalAbruptBalanced
1.0,2,100,0.45,0.0015212214430123,,1,InsectsIncrementalAbruptBalanced
1.0,2,100,0.5,0.0014331480926992,,1,InsectsIncrementalAbruptBalanced
0.5,2,100,0.45,0.0014257518245911,,1,InsectsIncrementalAbruptBalanced
0.5,2,100,0.5,0.0013533787585172,,1,InsectsIncrementalAbruptBalanced
1.0,2,100,0.55,0.0013458271601107,,1,InsectsIncrementalAbruptBalanced
0.5,2,100,0.55,0.0012994485936077,,1,InsectsIncrementalAbruptBalanced
1.0,3,500,0.45,0.0760299559780416,,1,InsectsIncrementalBalanced
1.0,3,500,0.5,0.0759633091884876,,1,InsectsIncrementalBalanced
1.0,3,500,0.55,0.0759633091884876,,1,InsectsIncrementalBalanced
0.5,3,1000,0.55,0.0652963151340828,,1,InsectsIncrementalBalanced
0.5,3,1000,0.5,0.0652904689244728,,1,InsectsIncrementalBalanced
1.0,3,1000,0.5,0.0652846227148628,,1,InsectsIncrementalBalanced
1.0,3,1000,0.45,0.0652729302956428,,1,InsectsIncrementalBalanced
1.0,3,1000,0.55,0.0652670840860328,,1,InsectsIncrementalBalanced
