n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht) (mean),lpd (ht) (std),count,stream
4,20,1000,100,0.0025962614469086,0.0,5,InsectsIncrementalAbruptBalanced
4,40,1000,250,0.0024824555920024,0.0,5,InsectsIncrementalAbruptBalanced
4,20,500,100,0.0024809287502996,0.0,5,InsectsIncrementalAbruptBalanced
4,40,500,100,0.0024809287502996,0.0,5,InsectsIncrementalAbruptBalanced
4,10,500,100,0.0024805147653926,0.0,5,InsectsIncrementalAbruptBalanced
4,10,1000,250,0.002465985248051,0.0,5,InsectsIncrementalAbruptBalanced
4,20,1000,250,0.002465985248051,0.0,5,InsectsIncrementalAbruptBalanced
4,10,500,250,0.0023130889836875,0.0,5,InsectsIncrementalAbruptBalanced
4,20,500,250,0.0023130113293758,0.0,5,InsectsIncrementalAbruptBalanced
4,40,500,250,0.002298424781807,0.0,5,InsectsIncrementalAbruptBalanced
4,40,100,250,0.0020168651628055,6.16967294033365e-06,5,InsectsIncrementalAbruptBalanced
4,10,100,250,0.0019921727060872,6.207554979504516e-05,5,InsectsIncrementalAbruptBalanced
4,20,100,250,0.0019781807951486,7.530299260563552e-05,5,InsectsIncrementalAbruptBalanced
4,10,250,250,0.0019711142647757,0.0,5,InsectsIncrementalAbruptBalanced
4,20,250,250,0.0019650691427978,5.821954057132304e-06,5,InsectsIncrementalAbruptBalanced
4,40,250,250,0.0019610819885871,0.0,5,InsectsIncrementalAbruptBalanced
4,20,250,50,0.001899125516086,0.0,5,InsectsIncrementalAbruptBalanced
4,40,250,50,0.001899125516086,0.0,5,InsectsIncrementalAbruptBalanced
4,10,250,50,0.001899125516086,0.0,5,InsectsIncrementalAbruptBalanced
4,10,250,100,0.0015139525652929,0.0,5,InsectsIncrementalAbruptBalanced
4,20,250,100,0.0015139525652929,0.0,5,InsectsIncrementalAbruptBalanced
4,40,250,100,0.0015139525652929,0.0,5,InsectsIncrementalAbruptBalanced
1,10,500,250,0.0011811085546281,0.0,5,InsectsIncrementalAbruptBalanced
