n_consecutive_deviations,n_permutations,n_samples,update_interval,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
4,10,250,250,0.8078612257509213,0.0046964396270114,5,Electricity
4,40,250,250,0.8061309615766591,0.0055148324341004,5,Electricity
4,40,250,250,0.6656385414498458,0.0,5,InsectsAbruptBalanced
4,20,250,250,0.6656385414498458,0.0,5,InsectsAbruptBalanced
4,10,250,250,0.6656006963498401,0.0,5,InsectsAbruptBalanced
4,10,100,250,0.6634170340795126,0.0009795595723052,5,InsectsAbruptBalanced
4,40,100,100,0.6628190814994228,0.0,5,InsectsAbruptBalanced
4,10,100,100,0.6628190814994228,0.0,5,InsectsAbruptBalanced
4,20,100,100,0.6628190814994228,0.0,5,InsectsAbruptBalanced
4,20,100,250,0.6624709065793707,0.0012592811303929,5,InsectsAbruptBalanced
4,40,100,250,0.6620356879293053,0.001020906207873,5,InsectsAbruptBalanced
4,40,500,250,0.6616458833992469,0.0,5,InsectsAbruptBalanced
4,20,500,250,0.6616458833992469,0.0,5,InsectsAbruptBalanced
4,10,500,250,0.6616458833992469,0.0,5,InsectsAbruptBalanced
4,40,100,50,0.6615512706492327,0.0,5,InsectsAbruptBalanced
4,10,100,50,0.6615512706492327,0.0,5,InsectsAbruptBalanced
4,20,100,50,0.6615512706492327,0.0,5,InsectsAbruptBalanced
4,40,250,100,0.6561961889984295,0.0,5,InsectsAbruptBalanced
4,10,250,100,0.6561961889984295,0.0,5,InsectsAbruptBalanced
4,20,250,100,0.6561961889984295,0.0,5,InsectsAbruptBalanced
4,20,250,50,0.6547959202982194,0.0,5,InsectsAbruptBalanced
4,40,250,50,0.6547959202982194,0.0,5,InsectsAbruptBalanced
4,10,250,50,0.6547959202982194,0.0,5,InsectsAbruptBalanced
1,20,100,250,0.6526425341078964,0.0003543623266411,5,InsectsAbruptBalanced
1,10,100,250,0.65253278331788,0.0002833963799313,5,InsectsAbruptBalanced
1,40,100,250,0.6524230325278635,0.0003541601804029,5,InsectsAbruptBalanced
1,40,1000,250,0.6514655514977198,0.0,5,InsectsAbruptBalanced
1,20,500,250,0.6514655514977198,0.0,5,InsectsAbruptBalanced
1,40,500,250,0.6514655514977198,0.0,5,InsectsAbruptBalanced
1,20,1000,250,0.6514655514977198,0.0,5,InsectsAbruptBalanced
1,10,1000,250,0.6514655514977198,0.0,5,InsectsAbruptBalanced
4,10,500,100,0.651219558347683,0.0,5,InsectsAbruptBalanced
4,20,500,100,0.651219558347683,0.0,5,InsectsAbruptBalanced
4,40,500,100,0.651219558347683,0.0,5,InsectsAbruptBalanced
1,10,500,250,0.6512006357976801,0.0,5,InsectsAbruptBalanced
1,20,250,250,0.6507729861676159,0.0005743547235718,5,InsectsAbruptBalanced
1,10,250,250,0.650439949287566,0.0002295797436085,5,InsectsAbruptBalanced
