n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
50,0.5,0.7,0.0098437832093517,0.0024863203619049,5,InsectsIncrementalAbruptBalanced
125,1.0,0.6,0.0096975621261579,0.0004964465417208,5,InsectsIncrementalAbruptBalanced
500,0.1,0.6,0.0074742774086032,0.0007891061270885,5,InsectsIncrementalAbruptBalanced
50,0.1,0.8,0.0061303692755443,0.0004177734025833,5,InsectsIncrementalAbruptBalanced
125,0.5,0.6,0.005020934012388,0.0007342626038337,5,InsectsIncrementalAbruptBalanced
125,0.1,0.7,0.0034513268360872,0.0001360845581837,5,InsectsIncrementalAbruptBalanced
250,0.1,0.6,0.0024943502370492,0.0001235573374345,5,InsectsIncrementalAbruptBalanced
50,1.0,0.6,0.0021181766012104,0.0001661410037324,5,InsectsIncrementalAbruptBalanced
50,0.1,0.7,0.0010157037958837,3.0718684665019896e-05,5,InsectsIncrementalAbruptBalanced
50,0.5,0.6,0.0010002383256396,1.4812723941705865e-05,5,InsectsIncrementalAbruptBalanced
125,0.1,0.6,0.0008919605719667,1.94765738729008e-05,5,InsectsIncrementalAbruptBalanced
50,0.1,0.6,0.0003641655080165,3.799260535574001e-06,5,InsectsIncrementalAbruptBalanced
500,1.0,0.6,0.36276899871968,0.0,5,InsectsIncrementalBalanced
500,0.1,0.7,0.3587789606608555,8.76931441499865e-05,4,InsectsIncrementalBalanced
50,0.5,0.8,0.3562621674237507,0.0102437904705628,2,InsectsIncrementalBalanced
500,0.5,0.6,0.3243278320500903,0.0816052830819524,5,InsectsIncrementalBalanced
250,1.0,0.6,0.2887594927828542,0.0980420602609791,5,InsectsIncrementalBalanced
250,0.5,0.6,0.1742573852242898,0.1153483296173271,5,InsectsIncrementalBalanced
50,1.0,0.7,0.1478854677427032,0.1228904978461212,5,InsectsIncrementalBalanced
125,0.1,0.8,0.1422160642147663,0.0330024836000094,5,InsectsIncrementalBalanced
250,0.1,0.7,0.1310895580850155,0.0253287950619943,5,InsectsIncrementalBalanced
125,1.0,0.6,0.0418540766593978,0.0043908616645263,5,InsectsIncrementalBalanced
500,0.1,0.6,0.0178471920928971,0.0016629480143202,5,InsectsIncrementalBalanced
50,0.5,0.7,0.0171021118600716,0.0048528662573346,5,InsectsIncrementalBalanced
125,0.5,0.6,0.0114863122874589,0.0014104229579609,5,InsectsIncrementalBalanced
50,0.1,0.8,0.0079664302292465,0.0015734980256148,5,InsectsIncrementalBalanced
125,0.1,0.7,0.00636826205849,0.0004582631401376,5,InsectsIncrementalBalanced
250,0.1,0.6,0.0038086855325336,0.0002416528865084,5,InsectsIncrementalBalanced
50,1.0,0.6,0.0035361412939399,0.0002947560161378,5,InsectsIncrementalBalanced
50,0.5,0.6,0.001293096814391,2.850782833124331e-05,5,InsectsIncrementalBalanced
125,0.1,0.6,0.0011421988562092,3.198320927154587e-05,5,InsectsIncrementalBalanced
50,0.1,0.7,0.001041693209506,5.5277503905884256e-05,5,InsectsIncrementalBalanced
50,0.1,0.6,0.0003456860291899,9.271299169370656e-06,5,InsectsIncrementalBalanced
125,1.0,0.8,0.3318034631493405,0.0821545660496172,5,InsectsIncrementalReoccurringBalanced
50,0.5,0.8,0.2912271050822029,0.0917877980546938,5,InsectsIncrementalReoccurringBalanced
250,0.5,0.8,0.2233468775395387,0.0811816940659078,5,InsectsIncrementalReoccurringBalanced
50,1.0,0.8,0.1994523973244983,0.0589295426455344,5,InsectsIncrementalReoccurringBalanced
500,0.5,0.8,0.1540680544268716,0.0167978835041616,5,InsectsIncrementalReoccurringBalanced
125,0.5,0.8,0.140769727657269,0.0248218670585782,5,InsectsIncrementalReoccurringBalanced
250,0.1,0.8,0.1163724448334062,0.0158125895785447,5,InsectsIncrementalReoccurringBalanced
125,0.1,0.8,0.1108222375028651,0.0283906986917546,5,InsectsIncrementalReoccurringBalanced
125,1.0,0.7,0.1034866120730969,0.0221449361804909,5,InsectsIncrementalReoccurringBalanced
500,0.1,0.8,0.0915046571232105,0.0109907445745551,5,InsectsIncrementalReoccurringBalanced
500,1.0,0.8,0.0872393573795086,0.0108613208533968,5,InsectsIncrementalReoccurringBalanced
125,0.5,0.7,0.0496359684504336,0.0046285647628318,5,InsectsIncrementalReoccurringBalanced
250,1.0,0.7,0.0475871765638596,0.0046759689973501,5,InsectsIncrementalReoccurringBalanced
500,0.5,0.7,0.0413169287423209,0.0026171587729439,5,InsectsIncrementalReoccurringBalanced
50,1.0,0.7,0.0405452479216309,0.0057812613501436,5,InsectsIncrementalReoccurringBalanced
500,0.1,0.7,0.0392718634744014,0.0021187388213469,5,InsectsIncrementalReoccurringBalanced
500,1.0,0.7,0.0377102979535935,0.001813638088924,5,InsectsIncrementalReoccurringBalanced
250,0.1,0.7,0.034947534014609,0.0039417494864552,5,InsectsIncrementalReoccurringBalanced
250,0.5,0.7,0.0345619232510524,0.0022594659583723,5,InsectsIncrementalReoccurringBalanced
500,1.0,0.6,0.0164172537845351,0.0007084553003836,5,InsectsIncrementalReoccurringBalanced
250,0.5,0.6,0.0152330725849812,0.0006250927473599,5,InsectsIncrementalReoccurringBalanced
500,0.5,0.6,0.0145943934171564,0.0005525486670169,5,InsectsIncrementalReoccurringBalanced
250,1.0,0.6,0.0141968955977076,0.0006599482596495,5,InsectsIncrementalReoccurringBalanced
125,1.0,0.6,0.0130325169901818,0.0019788283208277,5,InsectsIncrementalReoccurringBalanced
50,0.5,0.7,0.0116864140980899,0.0012896924695949,5,InsectsIncrementalReoccurringBalanced
