confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (ht) (std),count,stream
0.1,0.01,2,500,0.0013411686956972,4.435919976177186e-06,5,NOAAWeather
0.1,0.1,2,500,0.0013379291577849,0.0,5,NOAAWeather
0.1,0.1,3,500,0.0012788122187964,3.5948812498113266e-05,5,NOAAWeather
0.1,0.01,3,500,0.0012741102609123,6.92306760607019e-05,5,NOAAWeather
0.1,0.1,3,250,0.0007016656608889,5.390725340155794e-06,5,NOAAWeather
0.1,0.01,2,250,0.000698097606456,0.0,5,NOAAWeather
0.1,0.1,2,250,0.000698097606456,0.0,5,NOAAWeather
0.01,0.1,3,250,0.0006825128044762,1.2393643761841452e-05,5,NOAAWeather
0.01,0.1,2,250,0.0006805343571507,0.0,5,NOAAWeather
0.01,0.01,2,250,0.0006805343571507,0.0,5,NOAAWeather
0.1,0.01,3,250,0.000675293084645,2.6721596902569432e-05,5,NOAAWeather
0.01,0.01,3,250,0.000671368409923,2.8896627196862503e-05,5,NOAAWeather
0.1,0.1,2,100,0.000288898009465,0.0,5,NOAAWeather
0.1,0.01,2,100,0.0002880980788743,1.5321623905761553e-06,5,NOAAWeather
0.1,0.01,3,100,0.0002834668471877,1.5960656219325508e-05,5,NOAAWeather
0.1,0.1,3,100,0.0002774027234103,1.7016111321304847e-05,5,NOAAWeather
0.01,0.1,2,100,0.0002747974847049,3.4448524928831643e-06,5,NOAAWeather
0.01,0.1,3,100,0.0002729328673455,3.83830093479571e-06,5,NOAAWeather
0.01,0.01,2,100,0.0002721690414442,2.239001068924293e-06,5,NOAAWeather
0.01,0.01,3,100,0.000269114748812,1.099295378906389e-05,5,NOAAWeather
0.01,0.01,2,1000,0.1142785696424106,0.0,3,OutdoorObjects
0.01,0.01,2,250,0.0246668810059657,0.0,5,OutdoorObjects
0.01,0.01,3,100,0.0105157868414472,0.0,5,OutdoorObjects
0.01,0.01,3,1000,0.000177509347122,2.0429738863249084e-06,5,PokerHand
0.01,0.1,3,1000,0.0001771055045025,2.160357939461789e-06,5,PokerHand
0.01,0.1,2,1000,0.0001725429093069,1.525619334081855e-06,5,PokerHand
0.01,0.01,2,1000,0.0001724556466853,3.28478324424411e-07,5,PokerHand
0.1,0.1,2,1000,0.0001716587018462,6.092322483437167e-07,5,PokerHand
0.1,0.01,2,1000,0.0001707731131472,7.548494183149583e-07,5,PokerHand
0.1,0.1,3,1000,0.0001688003743614,1.4654728644153346e-06,5,PokerHand
0.1,0.01,3,1000,0.0001685843849374,1.299080422265787e-06,5,PokerHand
0.01,0.1,3,500,0.0001036847056178,3.3042771686849105e-07,5,PokerHand
0.01,0.01,3,500,0.0001031819857358,5.855925641702412e-07,5,PokerHand
0.01,0.1,2,500,0.0001007495608372,5.140532548102006e-07,5,PokerHand
0.01,0.01,2,500,0.0001007375697306,2.784040085408992e-07,5,PokerHand
0.1,0.01,2,500,9.757013312791112e-05,7.343324658578611e-07,5,PokerHand
0.1,0.01,3,500,9.744566634154366e-05,3.363388671901461e-07,5,PokerHand
0.1,0.1,2,500,9.725815304077204e-05,4.980829477064694e-07,5,PokerHand
0.1,0.1,3,500,9.702826642672756e-05,8.555605875849233e-07,5,PokerHand
0.01,0.1,3,250,6.234669778834315e-05,2.780904709779151e-07,5,PokerHand
0.01,0.01,3,250,6.227968734223847e-05,2.829591788631578e-07,5,PokerHand
0.01,0.1,2,250,5.955716370824214e-05,1.9685584727182455e-07,5,PokerHand
0.01,0.01,2,250,5.942991417517728e-05,9.860196317828112e-08,5,PokerHand
0.1,0.1,3,250,5.768971722869858e-05,1.8291340455978759e-07,5,PokerHand
0.1,0.01,3,250,5.740565426250459e-05,1.764150514912475e-07,5,PokerHand
0.1,0.01,2,250,5.6824108753025584e-05,8.310124772770647e-08,5,PokerHand
0.1,0.1,2,250,5.681693846068094e-05,7.135504622921949e-08,5,PokerHand
0.01,0.01,3,100,4.3489996945601366e-05,3.785933629927994e-07,5,PokerHand
0.01,0.1,3,100,4.329350441837009e-05,2.188449764337701e-07,5,PokerHand
0.01,0.1,2,100,3.522092983520722e-05,1.7306548341842753e-07,5,PokerHand
0.01,0.01,2,100,3.508773116328275e-05,1.3765560894652438e-07,5,PokerHand
0.1,0.01,3,100,2.88533811905808e-05,3.828586527565892e-08,5,PokerHand
0.1,0.1,3,100,2.879857543633153e-05,1.0306160450816885e-07,5,PokerHand
0.1,0.01,2,100,2.8134743500249013e-05,6.024484534739951e-08,5,PokerHand
0.1,0.1,2,100,2.8098779166012168e-05,4.7970432748591126e-08,5,PokerHand
0.01,0.1,3,1000,0.0007921038194703,6.838726056129188e-05,5,Powersupply
0.01,0.1,2,1000,0.0007816639537159,0.0,5,Powersupply
0.01,0.01,2,1000,0.0007778451374534,8.53913275635286e-06,5,Powersupply
0.01,0.01,3,1000,0.0007753080997976,5.958728099551598e-05,5,Powersupply
0.1,0.1,3,1000,0.0006656674097446,1.081968691115086e-05,5,Powersupply
0.1,0.1,2,1000,0.0006618485934822,6.536411905887594e-07,5,Powersupply
0.1,0.01,2,1000,0.0006618485934822,6.536411905887594e-07,5,Powersupply
0.1,0.01,3,1000,0.000661132565433,0.0,5,Powersupply
0.1,0.1,3,500,0.0002310886314593,1.5016892565039951e-05,5,Powersupply
0.1,0.1,2,500,0.0002279109050412,1.2937587703466396e-05,5,Powersupply
0.1,0.01,2,500,0.000223186765958,1.2937587703466396e-05,5,Powersupply
0.1,0.01,3,500,0.0002203021504373,1.718839890138621e-05,5,Powersupply
0.01,0.1,2,500,0.0002160358914173,1.7375207185573987e-05,5,Powersupply
0.01,0.1,3,500,0.0002009849511411,1.336051208395478e-05,5,Powersupply
0.01,0.01,2,500,0.0001954415608592,1.1668802050257932e-05,5,Powersupply
0.01,0.01,3,500,0.0001775583285558,1.0664264462225602e-05,5,Powersupply
0.01,0.1,2,250,8.36602233400591e-05,4.3841674186954953e-07,5,Powersupply
0.01,0.01,2,250,8.350013618065253e-05,3.5796577075796175e-07,5,Powersupply
0.01,0.01,3,250,6.768349538287611e-05,2.5675883415398784e-05,5,Powersupply
0.01,0.1,3,250,6.61179093354733e-05,2.300161213490104e-05,5,Powersupply
0.01,0.01,2,100,5.617398607006651e-05,2.692773448657585e-06,5,Powersupply
0.01,0.1,2,100,5.523931076108036e-05,2.298997280561998e-06,5,Powersupply
0.01,0.01,3,100,1.8971116913422403e-05,1.837234125756069e-05,5,Powersupply
0.01,0.1,3,100,1.4496442334461927e-05,7.760344441283518e-06,5,Powersupply
0.1,0.1,2,250,-1.272938754143011e-05,0.0,5,Powersupply
0.1,0.01,2,250,-1.6166322177616278e-05,7.864325443687805e-06,5,Powersupply
0.1,0.1,3,250,-5.63709303293668e-05,1.8038240721656142e-05,5,Powersupply
0.1,0.01,3,250,-7.110072680636891e-05,1.299713740572586e-05,5,Powersupply
0.1,0.1,2,100,-0.0001021020492643,6.519028003013251e-06,5,Powersupply
0.1,0.01,2,100,-0.0001050174472167,0.0,5,Powersupply
0.1,0.1,3,100,-0.0001090804251299,1.656398831277458e-05,5,Powersupply
0.1,0.01,3,100,-0.0001112356409148,7.827158248062833e-06,5,Powersupply
0.1,0.01,2,500,0.0016566483326442,0.0,5,RialtoBridgeTimelapse
0.01,0.01,2,500,0.0016504573460792,0.0,5,RialtoBridgeTimelapse
0.01,0.01,3,500,0.0016447884909112,0.0,5,RialtoBridgeTimelapse
0.1,0.01,3,250,0.0010091679911485,0.0,5,RialtoBridgeTimelapse
0.01,0.1,3,250,0.0010047062654489,0.0,3,RialtoBridgeTimelapse
0.01,0.01,3,250,0.0009990597933369,6.38823157197852e-06,5,RialtoBridgeTimelapse
0.1,0.01,2,250,0.0009969354265222,0.0,5,RialtoBridgeTimelapse
0.01,0.1,2,250,0.0009906361130892,2.4973237556809083e-06,5,RialtoBridgeTimelapse
0.01,0.01,2,250,0.0009863655104106,7.581896540978212e-07,5,RialtoBridgeTimelapse
0.01,0.01,2,100,0.000511289518715,3.8888906221324965e-06,5,RialtoBridgeTimelapse
