confidence,feature_proportion,n_clusters,n_samples,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
0.1,0.01,3,500,0.6576872859386531,0.0012146891727112,5,InsectsAbruptBalanced
0.01,0.1,3,250,0.6575321210286298,0.001000983221228,5,InsectsAbruptBalanced
0.01,0.01,3,1000,0.6574980604386248,0.0010097800336565,5,InsectsAbruptBalanced
0.1,0.01,2,500,0.6573996631786099,0.00095090285406,5,InsectsAbruptBalanced
0.1,0.01,3,1000,0.6556474350483471,0.0008328072013422,5,InsectsAbruptBalanced
0.1,0.1,2,500,0.6548224118682234,0.0012082755714249,5,InsectsAbruptBalanced
0.1,0.1,3,1000,0.6546975230382046,0.0025400096298505,5,InsectsAbruptBalanced
0.1,0.1,3,500,0.6545953412681893,0.0015329951801771,5,InsectsAbruptBalanced
0.1,0.01,2,250,0.653626506708044,0.0021298336657164,5,InsectsAbruptBalanced
0.01,0.1,2,100,0.6526841637179026,0.0023455414779026,5,InsectsAbruptBalanced
0.1,0.01,3,250,0.6513179556076978,0.0022475417581702,5,InsectsAbruptBalanced
0.01,0.1,3,100,0.6491910609873787,0.0028122881995051,5,InsectsAbruptBalanced
0.1,0.1,2,250,0.6468484492970272,0.0017628973108167,5,InsectsAbruptBalanced
0.1,0.1,3,250,0.6444755615266713,0.0021624178161993,5,InsectsAbruptBalanced
0.1,0.01,2,100,0.6380759551157114,0.0014702833528873,5,InsectsAbruptBalanced
0.1,0.01,3,100,0.6282929967642439,0.0029043987701021,5,InsectsAbruptBalanced
0.1,0.1,2,100,0.6089314436013397,0.0014955040880242,5,InsectsAbruptBalanced
0.1,0.1,3,100,0.6008742218101311,0.0010135141062324,5,InsectsAbruptBalanced
0.1,0.01,2,250,0.6975444117768852,0.0014401369218004,5,InsectsGradualBalanced
0.01,0.1,2,250,0.6975030021947078,0.0026245313474662,5,InsectsGradualBalanced
0.01,0.1,2,100,0.6955484699159385,0.0012503362597294,5,InsectsGradualBalanced
0.01,0.1,3,250,0.6951178102612945,0.005402768347191,5,InsectsGradualBalanced
0.01,0.1,3,100,0.6945877676094249,0.0029458486880799,5,InsectsGradualBalanced
0.1,0.01,3,250,0.694198517536958,0.0014911474971955,5,InsectsGradualBalanced
0.1,0.1,2,500,0.6941902356205226,0.0017181234366411,5,InsectsGradualBalanced
0.1,0.01,3,500,0.6894364155865668,0.002473750351497,5,InsectsGradualBalanced
0.1,0.1,3,500,0.6892128038428093,0.0011185953808701,5,InsectsGradualBalanced
0.1,0.1,3,250,0.6890968570127127,0.0025723984414256,5,InsectsGradualBalanced
0.1,0.01,2,500,0.6886993250238105,0.0006452458049867,5,InsectsGradualBalanced
0.01,0.01,3,250,0.6886165058594559,0.0040415837060672,5,InsectsGradualBalanced
0.01,0.01,2,250,0.6884177398650048,0.001055578903619,5,InsectsGradualBalanced
0.01,0.1,3,500,0.6883017930349082,0.0041926460665335,5,InsectsGradualBalanced
0.1,0.1,2,250,0.6882189738705536,0.0025207859945852,5,InsectsGradualBalanced
0.01,0.01,3,100,0.6850718456250776,0.0050205083995419,5,InsectsGradualBalanced
0.01,0.01,2,100,0.6828274462710672,0.0006852003409457,5,InsectsGradualBalanced
0.01,0.1,2,500,0.6797714191063812,0.0016427134798291,5,InsectsGradualBalanced
0.1,0.01,2,100,0.679249658370947,0.0020470327594885,5,InsectsGradualBalanced
0.1,0.1,3,1000,0.6781895730672078,0.001692380797733,5,InsectsGradualBalanced
0.1,0.1,2,1000,0.677999088989192,0.0017245984863107,5,InsectsGradualBalanced
0.01,0.01,3,500,0.6765663174458569,0.0050778347127643,5,InsectsGradualBalanced
0.1,0.01,3,1000,0.6758623545488426,0.001487463087279,5,InsectsGradualBalanced
