n_reference_samples,recent_samples_proportion,threshold,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
50,0.5,0.6,0.6675076576858161,0.0024243202741535,5,InsectsIncrementalAbruptBalanced
500,1.0,0.6,0.6668025254735263,0.0007246184399369,5,InsectsIncrementalAbruptBalanced
125,0.1,0.6,0.6662899293617552,0.0016935808528687,5,InsectsIncrementalAbruptBalanced
250,1.0,0.6,0.6654022629242984,0.0026837178036748,5,InsectsIncrementalAbruptBalanced
125,1.0,0.6,0.6639619928736639,0.0031980351274173,5,InsectsIncrementalAbruptBalanced
50,0.1,0.8,0.6635294117647058,0.0064655833993226,5,InsectsIncrementalAbruptBalanced
50,0.5,0.7,0.6552603613177471,0.009226573307723,5,InsectsIncrementalAbruptBalanced
250,0.1,0.7,0.6449509282990561,0.0049997779489192,5,InsectsIncrementalAbruptBalanced
50,0.1,0.6,0.6368119022316685,0.0016922235762637,5,InsectsIncrementalAbruptBalanced
250,0.5,0.7,0.6359467400137526,0.0077787612313971,5,InsectsIncrementalAbruptBalanced
500,0.5,0.7,0.6358217165718572,0.0040368286341666,5,InsectsIncrementalAbruptBalanced
250,1.0,0.7,0.6337063199349877,0.0041233386955264,5,InsectsIncrementalAbruptBalanced
50,1.0,0.7,0.6316834406451209,0.0064847973268427,5,InsectsIncrementalAbruptBalanced
500,0.1,0.7,0.6281652809901856,0.0015419349459949,5,InsectsIncrementalAbruptBalanced
125,0.5,0.7,0.6269600550103144,0.0049907503915136,5,InsectsIncrementalAbruptBalanced
500,0.5,0.8,0.6257923360630118,0.0,5,InsectsIncrementalAbruptBalanced
125,0.1,0.8,0.625624804650872,0.002886560872335,5,InsectsIncrementalAbruptBalanced
500,0.1,0.8,0.624629618053385,0.0,5,InsectsIncrementalAbruptBalanced
250,0.1,0.8,0.6245546039882478,0.0,5,InsectsIncrementalAbruptBalanced
500,1.0,0.7,0.6236694380196287,0.0013543391925615,5,InsectsIncrementalAbruptBalanced
250,0.5,0.8,0.6229568044008251,0.0015599499049133,5,InsectsIncrementalAbruptBalanced
125,1.0,0.7,0.6226742514221416,0.0013757862675219,5,InsectsIncrementalAbruptBalanced
125,0.5,0.8,0.6219866224917172,0.0015100585745828,5,InsectsIncrementalAbruptBalanced
50,0.5,0.8,0.6196886916296805,0.0011810381641342,5,InsectsIncrementalAbruptBalanced
250,1.0,0.8,0.6125648559104833,0.0,5,InsectsIncrementalAbruptBalanced
500,1.0,0.8,0.6118147152591111,0.0,5,InsectsIncrementalAbruptBalanced
50,1.0,0.8,0.606246171157092,0.0015264025951301,5,InsectsIncrementalAbruptBalanced
125,1.0,0.8,0.5966243670688254,0.0,5,InsectsIncrementalAbruptBalanced
500,0.1,0.6,0.5608607959029763,0.0028185018539077,5,InsectsIncrementalBalanced
125,0.5,0.6,0.5580265534840485,0.0013745743000452,5,InsectsIncrementalBalanced
50,0.5,0.7,0.5570022975603768,0.0036611987453127,5,InsectsIncrementalBalanced
125,0.1,0.7,0.5540873774488311,0.0018457938289512,5,InsectsIncrementalBalanced
50,0.1,0.8,0.5532630618938211,0.0028867592093984,5,InsectsIncrementalBalanced
125,1.0,0.6,0.5479418419067997,0.0092101350219184,5,InsectsIncrementalBalanced
50,1.0,0.6,0.5468404160162759,0.0024083353874126,5,InsectsIncrementalBalanced
250,0.1,0.6,0.5460862549765859,0.0024905593996395,5,InsectsIncrementalBalanced
50,1.0,0.7,0.5428100391111423,0.0136432361248348,5,InsectsIncrementalBalanced
250,0.5,0.6,0.5387796622060088,0.0097273526763137,5,InsectsIncrementalBalanced
500,1.0,0.6,0.5374362032376309,0.0,5,InsectsIncrementalBalanced
250,1.0,0.6,0.5359875124962731,0.0030650127583439,5,InsectsIncrementalBalanced
500,0.5,0.6,0.5346721153340231,0.0025869507250719,5,InsectsIncrementalBalanced
500,0.1,0.7,0.5334461651788064,8.769314415001579e-05,4,InsectsIncrementalBalanced
250,0.1,0.7,0.5326797270989354,0.0062772048732166,5,InsectsIncrementalBalanced
50,0.5,0.8,0.5309293719417016,0.0102437904705629,2,InsectsIncrementalBalanced
125,0.1,0.8,0.5300664714032657,0.0089799954784281,5,InsectsIncrementalBalanced
50,0.5,0.6,0.5102478208253679,0.0016016139102514,5,InsectsIncrementalBalanced
125,0.1,0.6,0.5004998509216549,0.0025877948186956,5,InsectsIncrementalBalanced
50,0.1,0.7,0.4972306505077433,0.0039595877481842,5,InsectsIncrementalBalanced
50,0.1,0.6,0.4193977234859778,0.0027839058415026,5,InsectsIncrementalBalanced
250,0.1,0.6,0.6987335125336,0.0008632232658505,5,InsectsIncrementalReoccurringBalanced
125,0.5,0.6,0.6981809089204226,0.0045602461102023,5,InsectsIncrementalReoccurringBalanced
500,0.1,0.6,0.6954203913233731,0.0022025852077826,5,InsectsIncrementalReoccurringBalanced
50,1.0,0.6,0.694560230043133,0.0019081665701308,5,InsectsIncrementalReoccurringBalanced
500,0.5,0.6,0.6891117084453335,0.0026703497031541,5,InsectsIncrementalReoccurringBalanced
125,0.1,0.7,0.6877339501156466,0.0037260090164433,5,InsectsIncrementalReoccurringBalanced
250,1.0,0.6,0.6823229355504157,0.0059498194941074,5,InsectsIncrementalReoccurringBalanced
50,0.5,0.6,0.6819778708507844,0.0014541467873774,5,InsectsIncrementalReoccurringBalanced
250,0.5,0.6,0.6810852034756516,0.0032545573518458,5,InsectsIncrementalReoccurringBalanced
50,0.1,0.7,0.680917672063512,0.0028539650720331,5,InsectsIncrementalReoccurringBalanced
125,0.1,0.6,0.6808126523723198,0.001700764606993,5,InsectsIncrementalReoccurringBalanced
500,1.0,0.6,0.6790823279364882,0.0025642091533374,5,InsectsIncrementalReoccurringBalanced
50,0.1,0.8,0.675556666875039,0.0046046118374317,5,InsectsIncrementalReoccurringBalanced
50,0.5,0.7,0.671388385322248,0.0050722782329961,5,InsectsIncrementalReoccurringBalanced
125,1.0,0.6,0.6703256860661374,0.0020157873478204,5,InsectsIncrementalReoccurringBalanced
500,0.5,0.7,0.6547102581734074,0.0035922326584091,5,InsectsIncrementalReoccurringBalanced
250,0.1,0.7,0.651332124773395,0.0068344805237383,5,InsectsIncrementalReoccurringBalanced
500,0.1,0.7,0.6505369756829406,0.0041183545373432,5,InsectsIncrementalReoccurringBalanced
500,1.0,0.7,0.6496518097143215,0.0035694969943761,5,InsectsIncrementalReoccurringBalanced
250,0.5,0.7,0.6493442520472589,0.0024877999996436,5,InsectsIncrementalReoccurringBalanced
50,1.0,0.7,0.6483115584172032,0.0072087881285903,5,InsectsIncrementalReoccurringBalanced
125,0.5,0.7,0.6469488029005438,0.0059931522748953,5,InsectsIncrementalReoccurringBalanced
50,0.1,0.6,0.6425754829030443,0.0007707266775393,5,InsectsIncrementalReoccurringBalanced
500,0.1,0.8,0.6408251547165094,0.0004382602197953,5,InsectsIncrementalReoccurringBalanced
500,1.0,0.8,0.6395624179533662,6.847815934263416e-06,5,InsectsIncrementalReoccurringBalanced
125,0.1,0.8,0.635021566543727,0.0048334004426105,5,InsectsIncrementalReoccurringBalanced
250,0.1,0.8,0.6318284678377195,0.0100224299639348,5,InsectsIncrementalReoccurringBalanced
250,1.0,0.7,0.6301331499656185,0.0038895594506836,5,InsectsIncrementalReoccurringBalanced
125,0.5,0.8,0.628345314746515,0.0117140340093922,5,InsectsIncrementalReoccurringBalanced
125,1.0,0.7,0.6216190535725448,0.0026118740575404,5,InsectsIncrementalReoccurringBalanced
250,0.5,0.8,0.6160005000937676,0.0024657272690564,5,InsectsIncrementalReoccurringBalanced
50,0.5,0.8,0.6120547602675501,0.0312138999458284,5,InsectsIncrementalReoccurringBalanced
125,1.0,0.8,0.6117922110395699,0.0005088008650433,5,InsectsIncrementalReoccurringBalanced
50,1.0,0.8,0.5813540038757268,0.0303065972834122,5,InsectsIncrementalReoccurringBalanced
500,0.5,0.8,0.5759604925923612,0.0218672547602717,5,InsectsIncrementalReoccurringBalanced
250,0.5,0.7,0.7189668465690053,0.0013954025178235,5,NOAAWeather
125,0.1,0.8,0.7171714946580019,0.0018682367673457,5,NOAAWeather
250,0.5,0.8,0.7168851195065535,0.0018923513304294,5,NOAAWeather
250,0.5,0.6,0.7152659984579799,0.0019960898587468,5,NOAAWeather
125,0.1,0.7,0.7138671659874436,0.0014999452352048,5,NOAAWeather
250,1.0,0.6,0.7129529683885891,0.0007331010592485,5,NOAAWeather
250,0.1,0.7,0.7128538385284723,0.0011055655854105,5,NOAAWeather
125,0.5,0.8,0.71272166538165,0.0024811819454673,5,NOAAWeather
125,0.5,0.6,0.7125234056614165,0.0021604852126812,5,NOAAWeather
250,0.1,0.6,0.7121048573631457,0.0025785881360547,5,NOAAWeather
125,0.1,0.6,0.7116973234937769,0.0016098596742199,5,NOAAWeather
500,1.0,0.8,0.7114880493446415,0.0025036332345483,5,NOAAWeather
50,0.1,0.8,0.7112347174798986,0.0011384092991515,5,NOAAWeather
250,0.1,0.8,0.7111025443330763,0.0015328468517212,5,NOAAWeather
125,0.5,0.7,0.7107390681793149,0.0017599837346697,5,NOAAWeather
50,0.5,0.8,0.7100341447295958,0.0029447894993635,5,NOAAWeather
50,0.1,0.6,0.7097147262914418,0.0019806840520271,5,NOAAWeather
125,1.0,0.6,0.7096816830047362,8.35210424501672e-05,5,NOAAWeather
500,1.0,0.6,0.7092300914197599,0.0013475243363595,5,NOAAWeather
125,1.0,0.7,0.7087564709769799,0.0003602913808524,5,NOAAWeather
125,1.0,0.8,0.7086573411168631,0.0001624394889718,5,NOAAWeather
50,0.1,0.7,0.707555898226677,0.0016792037819943,5,NOAAWeather
