seed,const,max_depth,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1734526704,0.5,2,1000,0.5,0.0012211532911903,0.0013456987761127,0.1387710094563437,0.1384702776756775,0.1522036956594379,0.1532729642129181,0.0892377551095781,0.0889535523418541,0.1107587995764537,0.1122907006509496,"[2115, 5289, 7289, 10826, 13832, 15832, 19396, 22945, 24945, 27621, 29621]"
1734526732,0.5,2,1000,0.55,0.0012727941020118,0.0013882265026716,0.1387710094563437,0.1384702776756775,0.1527717445784742,0.1537407692050656,0.0892377551095781,0.0889535523418541,0.1112423493555832,0.1128168357381522,"[2099, 5285, 7285, 10826, 13832, 15832, 19395, 22945, 24945, 27621, 29621]"
1734526759,0.5,3,100,0.45,1.991377672201013e-05,-8.77556262325868e-05,0.1387710094563437,0.1384702776756775,0.1407424733518227,0.1297824706786514,0.0892377551095781,0.0889535523418541,0.1127264036731808,0.1016544237950411,"[211, 452, 735, 1314, 1911, 2144, 2424, 2624, 2863, 3153, 3406, 3656, 4156, 4356, 4662, 4862, 5079, 5279, 5479, 5679, 5879, 6171, 6371, 6652, 6867, 7520, 7867, 8279, 8479, 8679, 8879, 9142, 9472, 10292, 10973, 11173, 11609, 12394, 12681, 12896, 13096, 13321, 13521, 13735, 13936, 14136, 14336, 14536, 14736, 14936, 15340, 15543, 15753, 16174, 16422, 16755, 17093, 17350, 17586, 17786, 18106, 18708, 19028, 19392, 19693, 20352, 20593, 20793, 21063, 21459, 21711, 21968, 22173, 22388, 22644, 22868, 23068, 23268, 23468, 23668, 23985, 24415, 24658, 24993, 25322, 25752, 25998, 26198, 26483, 26782, 27447, 27959, 28354, 28635, 28865, 29117, 29346, 29547, 29824]"
1734526799,0.5,3,100,0.5,7.017074882213481e-06,-8.7546362816186e-05,0.1387710094563437,0.1384702776756775,0.1394727169445651,0.1297156413940589,0.0892377551095781,0.0889535523418541,0.1114624253048122,0.1019505080188642,"[211, 452, 735, 1232, 1432, 1757, 2143, 2424, 2624, 2863, 3153, 3406, 3656, 4156, 4356, 4661, 4861, 5078, 5278, 5478, 5678, 5878, 6171, 6371, 6652, 6852, 7520, 7867, 8279, 8479, 8679, 8879, 9142, 9471, 10292, 10971, 11171, 11609, 12394, 12660, 12860, 13066, 13316, 13516, 13735, 13935, 14135, 14335, 14535, 14735, 14935, 15340, 15542, 15753, 16174, 16421, 16755, 17093, 17350, 17586, 17786, 18106, 18708, 19028, 19391, 19693, 20352, 20593, 20793, 21063, 21458, 21711, 21968, 22173, 22388, 22644, 22867, 23067, 23267, 23467, 23667, 23985, 24414, 24658, 24993, 25322, 25752, 25998, 26198, 26483, 26782, 27447, 27959, 28354, 28635, 28864, 29117, 29346, 29547, 29823]"
1734526839,0.5,3,100,0.55,2.315866297760133e-06,-9.064962365518485e-05,0.1387710094563437,0.1384702776756775,0.1390049119524175,0.1293146656865038,0.0892377551095781,0.0889535523418541,0.1110014292146108,0.1015826932107155,"[211, 452, 735, 1232, 1432, 1756, 2143, 2424, 2624, 2863, 3152, 3406, 3656, 3938, 4156, 4356, 4660, 4860, 5078, 5278, 5478, 5678, 5878, 6171, 6371, 6652, 6852, 7519, 7867, 8279, 8479, 8679, 8879, 9141, 9471, 10292, 10971, 11171, 11609, 12394, 12660, 12860, 13065, 13316, 13516, 13735, 13935, 14135, 14335, 14535, 14735, 14935, 15340, 15542, 15752, 16174, 16421, 16755, 17093, 17350, 17586, 17786, 18106, 18707, 19028, 19391, 19693, 20352, 20593, 20793, 21063, 21458, 21711, 21968, 22172, 22388, 22600, 22800, 23031, 23231, 23431, 23647, 23984, 24414, 24657, 24993, 25322, 25751, 25998, 26198, 26482, 26782, 27446, 27953, 28354, 28635, 28864, 29117, 29346, 29547, 29823]"
1734526878,0.5,3,250,0.45,0.0006694066673349,0.000516813134182,0.1387710094563437,0.1384702776756775,0.1588532094763925,0.1539746717011394,0.0892377551095781,0.0889535523418541,0.117949331636657,0.1130419785710331,"[2545, 3071, 5206, 5706, 6206, 7672, 8730, 9230, 11119, 11643, 12710, 13230, 13744, 14244, 14744, 15244, 15744, 16433, 17474, 17974, 19707, 20500, 21844, 22830, 23330, 24676, 26234, 26734, 28780, 29432]"
1734526934,0.5,3,250,0.5,0.0006170570610708,0.0004845123132956,0.1387710094563437,0.1384702776756775,0.1572827212884686,0.153005647074548,0.0892377551095781,0.0889535523418541,0.1165395132046324,0.1123223310085071,"[2545, 3071, 5206, 5706, 6206, 7671, 8730, 9230, 11119, 11642, 12710, 13230, 13744, 14244, 14744, 15244, 15744, 16433, 17473, 17973, 19707, 20360, 21844, 22830, 23330, 24675, 26234, 26734, 28780, 29286]"
1734526990,0.5,3,250,0.55,0.0006103741326115,0.0004833984918858,0.1387710094563437,0.1384702776756775,0.157082233434691,0.1529722324322518,0.0892377551095781,0.0889535523418541,0.1162319710398608,0.1123575009222435,"[2545, 3071, 5206, 5706, 6206, 7671, 8726, 9229, 11119, 11642, 12710, 13230, 13744, 14244, 14744, 15244, 15744, 16433, 17473, 17973, 19707, 20360, 21844, 22829, 23329, 24675, 26234, 26734, 28780, 29286]"
1734527047,0.5,3,500,0.45,0.0016999699268219,0.0014660674307481,0.1387710094563437,0.1384702776756775,0.1659705282854947,0.1619273565676479,0.0892377551095781,0.0889535523418541,0.1236181579388553,0.1189670228838405,"[2301, 5291, 6291, 7871, 8902, 11236, 12795, 14057, 15057, 16770, 17770, 19365, 22877, 23877, 24877, 26358]"
1734527101,0.5,3,500,0.5,0.0016957930965349,0.0014744210913222,0.1387710094563437,0.1384702776756775,0.1659036990009021,0.1620610151368329,0.0892377551095781,0.0889535523418541,0.1234735798363971,0.118977941309771,"[2300, 5291, 6291, 7867, 8902, 11236, 12795, 14057, 15057, 16770, 17770, 19365, 22877, 23877, 24877, 26358]"
